first_name,last_name,email,phone,address_line,city,state,postal_code,country
Henry,Davis,henrydavis97@example.com,+1 (214) 665-7684,"5191 Maple Ave, Apt 142",Denver,CO,39451,USA
Henry,Taylor,henrytaylor175@example.com,+1 (495) 343-5934,"1921 Maple Ave, Apt 199",Atlanta,GA,16258,USA
 JAMES ,martinez,JAMESMARTINEZ210@EXAMPLE.COM,1-337-370-6992,1861 Sunset Blvd Apt 111,AUSTIN,TX,57964,USA
Henry,Taylor,henrytaylor133@example.com,+1 (819) 540-2624,"7533 Maple Ave, Apt 130",Phoenix,AZ,95814,USA
Harper,Martin,harpermartin146@example.com,+1 (508) 316-3248,"225 Elm St, Apt 53",Austin,TX,47938,USA
Amelia,Gonzalez,ameliagonzalez62@example.com,+1 (837) 646-1441,"7757 Sunset Blvd, Apt 33",Denver,CO,87580,USA
Ella,Martin,ellamartin143@example.com,+1 (361) 872-1815,"961 Maple Ave, Apt 40",Seattle,WA,45665,USA
Abigail,Rodriguez,abigailrodriguez185@example.com,+1 (640) 716-3956,"7055 Elm St, Apt 21",Seattle,WA,52101,USA
Liam,Hernandez,liamhernandez21@example.com,+1 (485) 785-8953,"8523 Cedar Ln, Apt 61",Seattle,WA,80678,USA
 EVELYN ,thomas,EVELYNTHOMAS181@EXAMPLE.COM,1-933-894-8498,"2309 Oak St, Apt 17",DENVER,CO,48462,USA
James,Thomas,jamesthomas99@example.com,+1 (348) 492-4122,"7583 Pine Rd, Apt 142",Boston,MA,19150,USA
Mia,Hernandez,miahernandez105@example.com,+1 (536) 972-9742,"1415 Sunset Blvd, Apt 219",Atlanta,GA,51505,USA
Henry,Rodriguez,henryrodriguez74@example.com,+1 (287) 347-7658,"8564 Hillcrest Way, Apt 49",Austin,TX,82768,USA
Amelia,Rodriguez,ameliarodriguez3@example.com,+1 (544) 204-2519,"3627 Sunset Blvd, Apt 196",Denver,CO,22676,USA
Noah,Anderson,noahanderson98@example.com,+1 (933) 398-9337,"2622 Elm St, Apt 128",Seattle,WA,64459,USA
 MIA ,johnson, miajohnson129@example.com ,+1 (316) 863-2041,"6997 Hillcrest Way, Apt 135",DENVER,CO,68756,USA
Ella,Martinez,ellamartinez83@example.com,+1 (771) 882-7818,"4166 Cedar Ln, Apt 31",Seattle,WA,78494,USA
Mia,Miller,miamiller200@example.com,+1 (510) 729-9740,"2150 Maple Ave, Apt 161",Phoenix,AZ,75873,USA
Logan,Jones,loganjones153@example.com,+1 (462) 302-3842,"1784 Pine Rd, Apt 38",Boston,MA,95918,USA
