first_name,last_name,email,phone,address_line,city,state,postal_code,country
James,Moore,jamesmoore106@example.com,+1 (846) 800-5708,"1221 Cedar Ln, Apt 61",Austin,TX,21846,USA
James,Lopez,jameslopez170@example.com,+1 (327) 391-2374,"8552 Pine Rd, Apt 218",Seattle,WA,45755,USA
Ava,Hernandez,avahernandez214@example.com,+1 (352) 720-9446,"8608 Pine Rd, Apt 117",Miami,FL,52987,USA
Emma,Johnson,emmajohnson202@example.com,+1 (785) 526-1496,"3553 Hillcrest Way, Apt 197",Phoenix,AZ,92203,USA
Evelyn,Gonzalez,evelyngonzalez8@example.com,+1 (901) 432-1916,"9225 Cedar Ln, Apt 57",Phoenix,AZ,14207,USA
 EMMA ,hernandez, emmahernandez149@example.com ,1-926-755-7843,9494 Elm St Apt 104,ATLANTA,GA,25096,USA
 HENRY ,Davis,HENRYDAVIS97@EXAMPLE.COM,+1 (214) 665-7684,"5191 Maple Ave, Apt 142",DENVER,CO,39451,USA
Ava,Smith,avasmith52@example.com,+1 (825) 970-2193,"4111 Hillcrest Way, Apt 122",Austin,TX,64321,USA
Amelia,Gonzalez,ameliagonzalez9@example.com,+1 (780) 997-6155,"1184 Cedar Ln, Apt 55",Phoenix,AZ,95909,USA
Evelyn,Davis,evelyndavis209@example.com,+1 (249) 151-5609,"9657 Hillcrest Way, Apt 91",Boston,MA,88317,USA
Abigail,Martinez,abigailmartinez48@example.com,+1 (913) 402-3085,"5444 Cedar Ln, Apt 104",Atlanta,GA,65108,USA
Evelyn,Moore,evelynmoore38@example.com,+1 (314) 177-3442,"9289 Oak St, Apt 3",Atlanta,GA,58393,USA
Benjamin,Jackson,benjaminjackson198@example.com,+1 (714) 989-1907,"2214 Maple Ave, Apt 111",Denver,CO,77908,USA
Henry,Miller,henrymiller36@example.com,+1 (849) 973-5325,"3435 Hillcrest Way, Apt 176",Chicago,IL,42914,USA
Harper,Hernandez,harperhernandez24@example.com,+1 (394) 649-8350,"4173 Pine Rd, Apt 50",Seattle,WA,65296,USA
 SOPHIA ,rodriguez,SOPHIARODRIGUEZ96@EXAMPLE.COM,1-915-596-2989,4819 Oak St Apt 113,Denver,CO,92578,USA
James,Anderson,jamesanderson56@example.com,+1 (852) 383-9540,"4150 Hillcrest Way, Apt 216",Phoenix,AZ,92149,USA
Lucas,Taylor,lucastaylor148@example.com,+1 (959) 143-8147,"1280 Oak St, Apt 102",Chicago,IL,70260,USA
Sophia,Davis,sophiadavis40@example.com,+1 (773) 995-7658,"5894 Pine Rd, Apt 200",Seattle,WA,41029,USA
Sophia,Martinez,sophiamartinez79@example.com,+1 (509) 114-9751,"6012 Pine Rd, Apt 46",Boston,MA,45954,USA
Noah,Smith,noahsmith0@example.com,+1 (342) 854-2679,"4112 Maple Ave, Apt 58",Phoenix,AZ,87397,USA
Ella,Smith,ellasmith60@example.com,+1 (560) 405-7389,"7914 Sunset Blvd, Apt 2",Atlanta,GA,80545,USA
Emma,Williams,emmawilliams136@example.com,+1 (962) 856-7105,"7175 Pine Rd, Apt 25",Seattle,WA,82924,USA
Logan,Rodriguez,loganrodriguez119@example.com,+1 (891) 339-8724,"6186 Oak St, Apt 28",Atlanta,GA,91205,USA
Harper,Jones,harperjones32@example.com,+1 (969) 174-1152,"7591 Hillcrest Way, Apt 81",Phoenix,AZ,91416,USA
 MIA ,lopez,MIALOPEZ44@EXAMPLE.COM,1-228-218-5279,8885 Pine Rd Apt 85,ATLANTA,GA,86099,USA
 NOAH ,wilson,NOAHWILSON217@EXAMPLE.COM,1-685-371-4728,"536 Oak St, Apt 153",Phoenix,AZ,86483,USA
Harper,Garcia,harpergarcia49@example.com,+1 (200) 411-5700,"6753 Cedar Ln, Apt 141",Phoenix,AZ,66346,USA
Noah,Johnson,noahjohnson115@example.com,+1 (793) 473-3153,"7322 Maple Ave, Apt 9",Phoenix,AZ,48680,USA
Elijah,Rodriguez,elijahrodriguez25@example.com,+1 (653) 927-2604,"4192 Oak St, Apt 20",Miami,FL,95477,USA
Emma,Hernandez,emmahernandez94@example.com,+1 (991) 513-9431,"5396 Oak St, Apt 30",Phoenix,AZ,96200,USA
 AMELIA ,lopez,amelialopez205@example.com,1-579-627-2739,"2242 Lakeview Dr, Apt 195",Atlanta,GA,41685,USA
Mia,Davis,miadavis191@example.com,+1 (390) 611-9482,"524 Sunset Blvd, Apt 189",Seattle,WA,83619,USA
Evelyn,Taylor,evelyntaylor171@example.com,+1 (427) 936-8391,"7267 Lakeview Dr, Apt 24",Denver,CO,13495,USA
 EMMA ,williams,EMMAWILLIAMS136@EXAMPLE.COM,+1 (962) 856-7105,7175 Pine Rd Apt 25,Seattle,WA,82924,USA
 EMMA ,Davis,EMMADAVIS189@EXAMPLE.COM,1-780-133-3513,6033 Hillcrest Way Apt 99,Chicago,IL,58623,USA
Ethan,Jackson,ethanjackson11@example.com,+1 (341) 621-9085,"6030 Maple Ave, Apt 57",Atlanta,GA,16175,USA
Benjamin,Williams,benjaminwilliams58@example.com,+1 (592) 810-3503,"2571 Cedar Ln, Apt 60",Denver,CO,18418,USA
 ETHAN ,brown, ethanbrown145@example.com ,1-739-783-6053,"9817 Oak St, Apt 125",PHOENIX,AZ,38903,USA
Mia,Lopez,mialopez67@example.com,+1 (367) 418-2771,"1976 Oak St, Apt 200",Denver,CO,50888,USA
Lucas,Garcia,lucasgarcia54@example.com,+1 (455) 968-2988,"922 Hillcrest Way, Apt 143",Miami,FL,27477,USA
Elijah,Garcia,elijahgarcia41@example.com,+1 (954) 440-7745,"506 Cedar Ln, Apt 46",Atlanta,GA,44970,USA
Logan,Anderson,logananderson187@example.com,+1 (645) 381-1939,"5876 Maple Ave, Apt 158",Austin,TX,97973,USA
Henry,rodriguez,HENRYRODRIGUEZ74@EXAMPLE.COM,+1 (287) 347-7658,8564 Hillcrest Way Apt 49,Austin,TX,82768,USA
Logan,Miller,loganmiller7@example.com,+1 (850) 275-9751,"1269 Cedar Ln, Apt 156",Phoenix,AZ,31417,USA
 LUCAS ,martinez,LUCASMARTINEZ76@EXAMPLE.COM,1-743-452-7971,7853 Lakeview Dr Apt 142,CHICAGO,IL,56112,USA
Benjamin,Wilson,benjaminwilson2@example.com,+1 (484) 928-1106,"7459 Pine Rd, Apt 151",Boston,MA,65392,USA
Liam,Lopez,liamlopez156@example.com,+1 (662) 138-1932,"5185 Lakeview Dr, Apt 119",Seattle,WA,47627,USA
Logan,Brown,loganbrown124@example.com,+1 (567) 162-7523,"9020 Elm St, Apt 166",Chicago,IL,34878,USA
Olivia,Jackson,oliviajackson20@example.com,+1 (207) 172-1964,"9741 Cedar Ln, Apt 57",Boston,MA,18834,USA
 JAMES ,Gonzalez, jamesgonzalez103@example.com ,1-237-229-9229,"2592 Lakeview Dr, Apt 127",Atlanta,GA,23154,USA
